alpha,beta,z ratio,smooth ratio
18481623.131188754,1668030.6110212393,0.020292626857205485,0.5915462879887862
18393843.60560574,1686669.5287796066,-0.01487847520163066,0.5820196973098668
18393843.60560574,1686669.5287796066,-0.01487847520163066,0.5734457656988393
18230863.516817145,1712289.0721008098,-0.06695484820131549,0.5644273179239225
18029987.797512017,1733350.9647831337,-0.11639256921034685,0.5550747719012716
17790391.953855686,1750632.9350245653,-0.16467861794539954,0.5454503292625095
17611846.4035693,1759468.13462537,-0.19541975122790914,0.5360198025555608
17611846.4035693,1759468.13462537,-0.19541975122790914,0.527532328519307
17316290.707295995,1769495.0488565555,-0.24052126936472404,0.5187660639332582
16986214.91067592,1774627.8759117243,-0.28371847603838896,0.5097964956389727
16986214.91067592,1774627.8759117243,-0.28371847603838896,0.5017238841741156
16628355.333091727,1775171.4712696879,-0.32494450389119234,0.49342788315942426
16373457.650146347,1772946.4411845696,-0.35155501649208176,0.48529621943117984
16373457.650146347,1772946.4411845696,-0.35155501649208176,0.47797772207575984
15967940.058401663,1765758.8524720883,-0.3902697704706422,0.4704232056064178
15541255.459087785,1753903.5275737876,-0.42698635215149794,0.4627062262419886
15090323.59377668,1737138.6528225176,-0.462073450599173,0.45488376735281044
14779478.208314888,1723709.7485627548,-0.48478218686096924,0.4472758359460052
14779478.208314888,1723709.7485627548,-0.48478218686096924,0.44042869767988047
14300758.765729671,1699523.2249433957,-0.516964317902196,0.4334617199643375
13805249.131836459,1671367.1209358796,-0.548150831969112,0.42641177716867595
13297842.34046896,1638651.0242057825,-0.5773261440236348,0.41933744585121746
13297842.34046896,1638651.0242057825,-0.5773261440236348,0.4129705476655049
12955712.57609958,1615101.1706520105,-0.5961741251575609,0.4067691397700154
12432114.003354263,1576110.0373481652,-0.6231372123102927,0.40051379548525656
12432114.003354263,1576110.0373481652,-0.6231372123102927,0.3948839856289736
11905327.340908023,1534167.4365352506,-0.6488827736859756,0.38917351772392683
11375499.486530375,1488542.1518243644,-0.6726847983537303,0.38343904599269085
11020079.702837773,1456917.5829403435,-0.6884217979179404,0.3778845964454733
11020079.702837773,1456917.5829403435,-0.6884217979179404,0.3728855918529775
10489629.918563059,1406685.5423203036,-0.7099872515615827,0.3678473513786402
9962537.838439792,1354598.2551572416,-0.7306233431361393,0.36279703266237273
9437559.161445314,1300153.3718281481,-0.7499344443462957,0.35776896828747806
9093268.90039253,1263188.2831080619,-0.7620569455087336,0.3529406478210119
9093268.90039253,1263188.2831080619,-0.7620569455087336,0.3485951594011924
8582300.05408952,1206166.1167791514,-0.778849855302703,0.3442643970785056
8078258.976975911,1148378.4709589395,-0.7951495940715145,0.3399592175188672
8078258.976975911,1148378.4709589395,-0.7951495940715145,0.33608455591519265
7588884.369350878,1089777.410340089,-0.8094189820071287,0.33224062577349517
7267194.328088629,1050515.3144286787,-0.8186830092118481,0.3285494879658495
6794869.225216915,991441.4738496678,-0.8316273760044113,0.32490385476915423
6794869.225216915,991441.4738496678,-0.8316273760044113,0.32162278489212853
6339420.678286688,932591.1965214572,-0.8428919715814526,0.3183882071133794
5895903.86626089,874401.124517311,-0.8539483462695575,0.3152006777453025
5608613.826510234,835888.5270357413,-0.8606058474584751,0.31216546378431037
5194793.813955619,779169.3734947038,-0.8692071263384153,0.30921873924741894
5194793.813955619,779169.3734947038,-0.8692071263384153,0.30656668716421664
4793266.0105117215,723541.7841277807,-0.8777469197063555,0.3039663454551361
4411267.150215915,669739.8560662048,-0.8854444923740563,0.3014335986002711
4167078.090760701,634583.3091156465,-0.8894560643736636,0.2990538371309024
3812390.909336348,583810.6894086722,-0.8968040294154151,0.2967283526824268
3812390.909336348,583810.6894086722,-0.8968040294154151,0.2946354166787988
3477639.2877324456,534852.0096739242,-0.9024731463124563,0.2926100463531075
3161693.377674178,488434.78827704524,-0.9083079179201271,0.2906413437697936
2959052.4199909125,458598.0652248373,-0.9124855169722704,0.2887650714685075
2959052.4199909125,458598.0652248373,-0.9124855169722704,0.28707642639735
2674120.0786527353,416240.33200975996,-0.9181145703892074,0.2854159194978848
2407328.2534795166,376222.17025313096,-0.9233098472477985,0.2837915813669014
2407328.2534795166,376222.17025313096,-0.9233098472477985,0.28232967704901635
2156521.2281517466,339039.5516683322,-0.9309716931154712,0.28082241701622795
2002010.9403878215,315665.2805234191,-0.9346971226717711,0.2793727472478109
1783393.1002766609,282983.29204604006,-0.9427763465821398,0.27786606385847634
1581675.9792150005,252877.54405522827,-0.9523315400888913,0.27627116897040643
1581675.9792150005,252877.54405522827,-0.9523315400888913,0.2748357635711435
1400865.0540396143,225347.80616340597,-0.9600423969314494,0.2733511272907429
1288818.0026831992,208461.8611169577,-0.9668848100660541,0.27184389431001726
1133802.4392531132,185131.86639742373,-0.9786194691313418,0.270194018150732
998155.0930580032,164258.29731983237,-0.9882053681383028,0.26846948213220123
998155.0930580032,164258.29731983237,-0.9882053681383028,0.26691739971552353
875053.0275462262,145466.8968373224,-1.0005540746365267,0.265211807878058
801413.068308297,134303.5499580514,-1.0102903339744589,0.26343336874089074
